Deutch,Türkçe
ich,ben
sie,sen
das,.
ist,dır-dir
du,sen
nicht,Olumsuzluk
die,.
es,BT
und,ve
der,.
wir,biz
was,Ne
zu,ile
er,o
ein,a
in,içinde
ja,Evet
mir,Ben
mit,ile birlikte
wie,nasıl
den,.
mich,Ben
auf,üzerinde
dass,o
aber,Ancak
eine,bir tane
so,Bu yüzden
hat,Vardır
hier,Burada
haben,sahip olmak
für,için
sind,var olan
war,olmuş
von,itibaren
wenn,Eğer
dich,sen
ihr,sizin
nein,hayır
habe,Sahip olmak
an,üzerinde
bin,Ben
noch,hâlâ
nur,bir tek 
da,orada
dir,sana
sich,kendileri
einen,a
uns,biz
hast,Sahip olmak
dem,ki
kann,olabilmek
gut,İyi
auch,ayrıca
schon,Güzel
als,olarak
sein,olmak
mal,zamanlar
jetzt,şimdi
ihn,o
dann,o zamanlar
aus,dışarı
meine,benim
um,etrafında
im,içinde
wird,irade
mein,benim
bist,sen
doch,hala
alles,Herşey
weiß,Beyaz
keine,Yok
oder,veya
nach,sonrasında
s,S
nichts,hiç bir şey
man,bir tane
muss,zorla yapmak
werden,irade
will,istemek
ihnen,onlara
geht,gitmek
wo,Nereye
etwas,bazı
oh,ey
mehr,daha fazla
bei,-den
also,Bu yüzden
bitte,Rica ederim
immer,her zaman
hab,Sahip olmak
warum,Niye
vor,önceki
los,Haydi
können,olabilmek
wieder,Yeniden
sagen,söylemek
machen,Yapmak
danke,teşekkür ederim
sehr,çok
alle,Herkes
denn,çünkü
mann,adam
tun,yapmak
ihm,o
zum,için
gehen,yürümek
sehen,görmek
vielleicht,belki
einem,a
wer,kim
ihre,sizin
diese,Bu
euch,sana
einer,bir tane
komm,gel
über,üzerinde
gibt,var olan
okay,Tamam
wissen,bilmek
deine,seninki
müssen,zorunlu
soll,hedef
werde,haline gelmek
nie,asla
wirklich,Gerçekten
hey,hey
kein,hayır
viel,birçok
weg,uzak
würde,istemek
tut,yapmak
am,-den
des,ile ilgili
einfach,basit
leben,Hayat
hatte,vardı
zeit,zaman
weil,çünkü
willst,istemek
kommen,gelmek
dein,sizin
heute,bugün
kommt,gelir
wollen,istemek
damit,amacıyla
ganz,epeyce
wäre,istemek
wollte,yapmayı istedi
weißt,beyaz
ok,Tamam
sicher,güvenli
gesagt,söz konusu
frau,Kadın
nun,kuyu
bis,a kadar
wurde,istemek
leid,cefa
na,N / A
kannst,olabilmek
macht,güç
dieser,Bu
zurück,geri dönmek
lassen,ayrılmak
hallo,Merhaba
meinen,benim
gott,Tanrı
seine,onun
hätte,vardı
zwei,2
könnte,abilir
genau,Kesinlikle
waren,olmuş
zur,ki
lass,İzin Vermek
klar,açık
morgen,sabah
leute,İnsanlar
vater,baba
schön,güzel
glaube,inanç
mr.,Bay.
ab,uzak
gerade,sadece
tag,Gün
gesehen,görülen
reden,konuşmak
wohl,kuyu
liebe,aşk
sollte,meli
sagte,söz konusu
unsere,bizim
jemand,birşey
geld,para
durch,vasıtasıyla
ob,Eğer
keinen,hayır
mutter,anne
raus,Dışarı
gemacht,yaptı
paar,bir kaç
mach,Yapmak
passiert,olmak
dachte,düşünce
besser,daha iyi
musst,zorunlu
wieso,nasıl olur
sir,Bayım
dieses,Bu
selbst,hatta
gehört,Duymak
möchte,istemek
ohne,olmadan
hör,dinleme
her,itibaren
sag,söylemek
meiner,benim
anderen,diğerleri
helfen,Yardım Edin
nacht,gece
finden,Bulmak
diesen,Bu
gute,kalite
wirst,haline gelmek
lange,Uzun
natürlich,Doğal olarak
ach,ey
meinem,benim
gar,hiç
ins,içine
sei,olmak
dort,orada
weiter,daha öte
geben,vermek
seit,dan beri
gleich,aynı
sagt,diyor
recht,Yasa
ihren,sizin
richtig,doğru
ordnung,emir
vom,ondan
hören,Dinlemek
sieht,görüyor
davon,Bundan
dafür,Öyleyse
geh,yürümek
diesem,Bu
wegen,çünkü
hause,ev
sollten,meli
mädchen,kız
hin,orada
sollen,zorunlu
abend,Havva
haus,Ev
denke,düşünmek
viele,çok
drei,üç
deinen,seninki
freund,arkadaş
guten,iyi
unser,bizim
warte,Bekle
machst,Yapmak
menschen,İnsanlar
essen,yemek
angst,korku
bleiben,geriye kalmak
zusammen,bir arada
welt,dünya
unter,arasında
habt,Sahip olmak
schnell,hızlı
andere,diğer
tot,ölü
getan,yaptı
darf,Mayıs
erst,ilk
rein,saf
stimmt,Doğru
nehmen,almak
kinder,çocuklar
eines,bir tane
glauben,inanmak
bringen,getirmek
ganze,bütün
genug,yeterli
scheiße,saçmalık
brauchen,ihtiyaç
gegen,karşı
moment,an
junge,Oğlan
steht,STANDLAR
sonst,aksi halde
musik,müzik
arbeit,Görev
seid,var olan
ihrer,onların
fragen,soru
herr,Bay
dabei,dahil
heißt,denir
familie,aile
warten,beklemek
niemand,kimse
sofort,derhal
bevor,önceki
jahre,yıllar
einmal,bir Zamanlar
problem,sorun
sohn,oğul
wann,ne zaman
brauche,ihtiyaç
fertig,bitmiş
halt,sadece
allein,yalnız
beim,-den
sprechen,konuşmak
beide,ikisi birden
gefunden,kurmak
hatten,vardı
sache,Şey
hilfe,Yardım
verdammt,Lanet etmek
ne,NE
jeder,herkes
warst,varlıklar
gern,isteyerek
konnte,abilir
darüber,bu konuda
halten,Tut
siehst,görmek
verstehe,anlamak
jahren,yıllar
kam,gelmek
kind,çocuk
wusste,bilen
wahr,doğru
seinen,onun
dazu,ile
bruder,Kardeşler
daran,ona
ihrem,onunki
denken,düşünmek
könnten,Might
dank,sayesinde
würden,istemek
lieber,daha doğrusu
fall,durum
deiner,seninki
sehe,görmek
egal,önemi yok
kennen,bilmek
deinem,seninki
vergessen,unutmak
frage,Sor
mache,Yapmak
komme,gelmek
sage,efsane
mag,beğenmek
sieh,görmek
echt,gerçek
gib,vermek
eigentlich,aslında
jeden,her
dad,baba
gab,verilmiş
uhr,Saat
stadt,Kent
männer,Erkekler
baby,bebek
fahren,sürmek
namen,isimler
bekommen,teslim almak
kopf,kafa
hi,Merhaba
gehe,Git
kleine,küçük
später,sonra
glück,şans
letzte,geçen
freunde,arkadaşlar
n,n
all,Alet
darauf,üzerine
ende,Son
dr.,Dr.
bald,yakında
töten,öldürmek
dinge,şeyler
meinst,kastetmek
toll,Harika
eins,bir tane
minuten,dakika
vielen,birçok
bereit,hazır
weit,uzak
ahnung,fikir
seiner,onun
bisschen,biraz
tür,kapı
auto,otomobil
jungs,çocuklar
eure,sizin
augen,gözler
polizei,polis
stehen,ayakta durmak
sterben,ölmek
hätten,Sahip olmak
draußen,dışarıda
kenne,bilmek
fast,neredeyse
runter,aşağı
vorbei,üzerinde
treffen,tanışmak
gerne,memnuniyetle
dran,senin sıran
wurden,olmuş
arbeiten,İş
mom,anne
verrückt,çılgın
neue,yeni
ging,gitmiş
hinter,Arka
sorgen,bakımını yapmak
einzige,bekar
jemanden,birşey
darum,öyleyse
tochter,kız evlat
braucht,ihtiyaç
idee,fikir
schwester,kız kardeş
drin,içinde
ruhig,sakinlik
sah,testere
ganzen,bütün
spät,geç
ziemlich,hemen hemen
solltest,meli
name,Soyadı
sogar,hatta
kurz,kısa
kerl,İnsan
frauen,KADIN
liegt,yerleşmiş
suchen,Ara
finde,bulmak
je,durmadan
woher,nereden
lang,uzun
job,Görev
keiner,Yok
seinem,onun
hört,duymak
verstehen,anlamak
spielen,oynamak
s.,s.
überhaupt,hiç
teufel,şeytan
verstanden,anlaşıldı
verloren,kayıp
große,boy
hand,el
grund,zemin
jahr,yıl
kommst,gelmek
mama,mumya
ruhe,Sessizlik
gewesen,olmuştur
tod,ölüm
stunden,saat
hoffe,umut
denkst,düşünme
oben,üstünde
gestern,dün
versuchen,girişmek
art,tür
letzten,geçen
schatz,sevgilim
endlich,Nihayet
he,hey
nimm,almak
etwa,hakkında
erzählt,söylenmiş
läuft,koşma
schwer,ağır
anders,farklı
miss,kayıp
musste,zorunda
fünf,beş
wasser,su
lässt,yapraklar
erste,ilk
versucht,dener
gekommen,gelmek
geschichte,Tarih
wenig,biraz
holen,getirmek için
bedeutet,anlamına geliyor
nett,tür